Site Name,Date (D/M/Y),Crew,BAF,Mapsheet,Latitude,Longitude,Target Species,Stock Type,Planting Date (MM/YYYY),Seedlot(s),Origin Location,Origin Latitude,Origin Longitude,Origin Elevation (m),BGC Unit,Comments,Slope (%),Azimuth,Elevation (m),Tree Number,Site Tree,Spp,Total Height (m),DBH(cm),Crown Class,Site Series,BH age,Stem Infec'n,Scar,Fork/Crook,Frost Crack, D or B Top,Sweep,FHF1,FHF2,Other,Dom/ Co-dom,Inter/Supp,Photo Number,Tree Density,Comments,Site,FHF,Competition,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fdi-6,11-08-2010,"LM, KM",4,93L080,54.78572,-126.12472,Fdi,2+0 GTN,1959,D32,"Elko, BC",49.3,-115.08,UNKNOWN,SBSmc2,,0-5,320,765,8,9,Fdi,21.2,30.7,C,6,39,,,,,,,,,,100,0,"0811101445-00, 445-01 (00 = site tree)",n/a,,"Good site, not a significant factor","Some sweep, occasional forking (? environmental factors)",No significant competition from density or overtopping deciduous,"Coordinates for contract were incorrect (lead to Ep 537, Sx 4X4 + 8X8 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fdi-6,11-08-2010,"LM, KM",4,93L080,54.78572,-126.12472,Fdi,2+0 GTN,1959,D32,"Elko, BC",49.3,-115.08,UNKNOWN,SBSmc2,,0-5,320,765,9,9,Fdi,21.4,29.3,D,6,40,,,,,,,,,,100,0,"0811101445-00, 445-01 (00 = site tree)",n/a,,"Good site, not a significant factor","Some sweep, occasional forking (? environmental factors)",No significant competition from density or overtopping deciduous,"Coordinates for contract were incorrect (lead to Ep 537, Sx 4X4 + 8X8 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fdi-10,13-08-2010,LM,4,93K013,54.17801,-125.43723,Fdi,BR 2+0,May-62,377,Savory Station,54.1,-125.1667,914,SBSdk,Ft. St. James seedlot,22-May,200,853,1,1,Fdi,17.2,30.1,D,1,34,,,,,,,,,,80,20,"J2411- Site tree, J2412- Trees in plot",n/a,,"Moderate site, south facing","Fewer forks, crooks and sweep than in other Fdi stands. Not a significant factor at plot. In general approximately 15% incidence",Dead overstory Pl generally sparse and weren't likely a significant factor. No other competition concerns,Bareroot stock probably not great for survival. Likely planted as admixture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fdi-10,13-08-2010,LM,4,93K013,54.17801,-125.43723,Fdi,BR 2+0,May-62,377,Savory Station,54.1,-125.1667,914,SBSdk,Ft. St. James seedlot,22-May,200,853,2,1,Fdi,13.7,16.9,C,1,32,,,X,,,,,,"Tree 2 and 3 are the same tree,",80,20,J2411-J2412,n/a,,"Moderate site, south facing","Fewer forks, crooks and sweep than in other Fdi stands. Not a significant factor at plot. In general approximately 15% incidence",Dead overstory Pl generally sparse and weren't likely a significant factor. No other competition concerns,Bareroot stock probably not great for survival. Likely planted as admixture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fdi-10,13-08-2010,LM,4,93K013,54.17801,-125.43723,Fdi,BR 2+0,May-62,377,Savory Station,54.1,-125.1667,914,SBSdk,Ft. St. James seedlot,22-May,200,853,3,1,Fdi,14.4,17.8,C,1,32,,,X,,,,,,fork at < 1.3m,80,20,J2411-J2412,n/a,,"Moderate site, south facing","Fewer forks, crooks and sweep than in other Fdi stands. Not a significant factor at plot. In general approximately 15% incidence",Dead overstory Pl generally sparse and weren't likely a significant factor. No other competition concerns,Bareroot stock probably not great for survival. Likely planted as admixture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fdi-10,13-08-2010,LM,4,93K013,54.17801,-125.43723,Fdi,BR 2+0,May-62,377,Savory Station,54.1,-125.1667,914,SBSdk,Ft. St. James seedlot,22-May,200,853,4,1,Fdi,12.6,14.4,C,1,31,,,,,,,,,,80,20,J2411-J2412,n/a,,"Moderate site, south facing","Fewer forks, crooks and sweep than in other Fdi stands. Not a significant factor at plot. In general approximately 15% incidence",Dead overstory Pl generally sparse and weren't likely a significant factor. No other competition concerns,Bareroot stock probably not great for survival. Likely planted as admixture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fdi-10,13-08-2010,LM,4,93K013,54.17801,-125.43723,Fdi,BR 2+0,May-62,377,Savory Station,54.1,-125.1667,914,SBSdk,Ft. St. James seedlot,22-May,200,853,5,1,Fdi,11,15.8,C,1,32,,,,,,,,,,80,20,J2411-J2412,n/a,,"Moderate site, south facing","Fewer forks, crooks and sweep than in other Fdi stands. Not a significant factor at plot. In general approximately 15% incidence",Dead overstory Pl generally sparse and weren't likely a significant factor. No other competition concerns,Bareroot stock probably not great for survival. Likely planted as admixture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fdi-10,13-08-2010,LM,4,93K013,54.17801,-125.43723,Fdi,BR 2+0,May-62,377,Savory Station,54.1,-125.1667,914,SBSdk,Ft. St. James seedlot,22-May,200,853,6,1,Fdi,14.4,20.9,C,1,32,,,,,,,,,,80,20,J2411-J2412,n/a,,"Moderate site, south facing","Fewer forks, crooks and sweep than in other Fdi stands. Not a significant factor at plot. In general approximately 15% incidence",Dead overstory Pl generally sparse and weren't likely a significant factor. No other competition concerns,Bareroot stock probably not great for survival. Likely planted as admixture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fdi-10,13-08-2010,LM,4,93K013,54.17801,-125.43723,Fdi,BR 2+0,May-62,377,Savory Station,54.1,-125.1667,914,SBSdk,Ft. St. James seedlot,22-May,200,853,7,1,Fdi,7.8,8,S,1,26,,,,,,,,,,80,20,J2411-J2412,n/a,,"Moderate site, south facing","Fewer forks, crooks and sweep than in other Fdi stands. Not a significant factor at plot. In general approximately 15% incidence",Dead overstory Pl generally sparse and weren't likely a significant factor. No other competition concerns,Bareroot stock probably not great for survival. Likely planted as admixture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fdi-10,13-08-2010,LM,4,93K013,54.17801,-125.43723,Fdi,BR 2+0,May-62,377,Savory Station,54.1,-125.1667,914,SBSdk,Ft. St. James seedlot,22-May,200,853,8,1,Fdi,14.8,24.5,C,1,34,,,,,,X,,,,80,20,J2411-J2412,n/a,,"Moderate site, south facing","Fewer forks, crooks and sweep than in other Fdi stands. Not a significant factor at plot. In general approximately 15% incidence",Dead overstory Pl generally sparse and weren't likely a significant factor. No other competition concerns,Bareroot stock probably not great for survival. Likely planted as admixture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
